section,text,sub_section,decade
Politics and wars,"Coups
The most prominent coups d'état of the decade include:

A military coup is launched in Suriname on February 25, 1980; the country's politics are dominated by the military until 1991.
Nigeria suffered multiple military coups in 1983 and 1985.
Sitiveni Rabuka staged two military coups in Fiji in 1987, and declared the country a republic the same year.
The ""Anti-Bureaucratic Revolution"" – a series of interconnected coups d'états – take place in Yugoslavia from 1988 to 1989 through mass protests organized and committed by supporters of Serbian politician Slobodan Milošević overthrow the governments of Serbia's autonomous provinces of Kosovo and Vojvodina, and the government of Montenegro, and finally the main government of Serbia with Milošević becoming President of Serbia.

",Coups,1980s
Politics and wars,"Nuclear threats
Operation Opera – a 1981 surprise Israeli air strike that destroyed the Iraqi nuclear reactor being constructed near Baghdad. Israeli military intelligence assumed this was for the purpose of plutonium production to further an Iraqi nuclear weapons program. Israeli intelligence also believed that the summer of 1981 would be the last chance to destroy the reactor before it would be loaded with nuclear fuel.
US President Reagan's decision to station intermediate-range nuclear missiles in Western Europe provoked mass protests involving more than one million people.

",Nuclear threats,1980s
Politics and wars,"Decolonization and independence
In 1982, Canada gained official independence from the United Kingdom with the Canada Act 1982, authorized by the signature by Elizabeth II. This act severed all political dependencies of the United Kingdom in Canada (although the Queen remained the head of state).
In 1986, Australia gained full independence from the United Kingdom with the Australia Act 1986, which severed the last remaining powers of the British government over the Australian government, including the removal of the privy council as the highest court of appeal. Australia retained the queen as head of state.
In 1986, New Zealand and the United Kingdom fully separated New Zealand's governments from the influence of the British Parliament, resulting in New Zealand's full independence with the Constitution Act 1986 which also reorganised the New Zealand government.
Independence was granted to Vanuatu from the British/French condominium (1980), Kiribati from joint US-British government (1981) and Palau from the United States (1986).
Zimbabwe becomes independent from official colonial rule of the United Kingdom in 1980.
Independence was given to Antigua and Barbuda, Belize (both 1981), and Saint Kitts and Nevis (1983) in the Caribbean; and Brunei in the Far East in 1984

",Decolonization and independence,1980s
Politics and wars,"Prominent political events
Americas
Ronald Reagan was elected U.S. President in 1980. In international affairs, Reagan pursued a hardline policy towards preventing the spread of communism, initiating a considerable buildup of U.S. military power to challenge the Soviet Union. He further directly challenged the Iron Curtain by demanding that the Soviet Union dismantle the Berlin Wall.
The Reagan Administration accelerated the War on Drugs, publicized through anti-drug campaigns including the Just Say No campaign of First Lady Nancy Reagan. Drugs gained attention in the US as a serious problem in the '80s. Cocaine was relatively popular among celebrities and affluent youth, while crack, a cheaper offshoot of the drug, was linked to high crime rates in inner cities during the American crack epidemic.
The Professional Air Traffic Controllers Organization (1968) (PATCO) declared a strike on August 3, 1981, seeking better working conditions, better pay, and a 32-hour workweek. The strike caused considerable disruption of the U.S. air transportation system. Resolution came when Ronald Reagan fired over 11,000 striking air traffic controllers who had ignored the order, banning them from federal service for life. After seeking appeals, many of the controllers were re-hired while the FAA attempted to replace much of their air traffic control staffing. The remainder continued to be banned until President Clinton lifted the final aspects in 1993.
Political unrest in the province of Quebec, which, due to the many differences between the dominant francophone population and the anglophone minority, and also to francophone rights in the predominantly English-speaking Canada, came to a head in 1980 when the provincial government called a public referendum on partial separation from the rest of Canada. The referendum ended with the ""no"" side winning majority (59.56% no, 40.44% yes).
Military dictatorships give way to democracy in Argentina (1983), Uruguay (1984–85), Brazil (1985–1988) and Chile (1988–89). Marking the end of the Operation Condor for 30 years.

Europe
The European Community's enlargement continued with the accession of Greece in 1981 and Spain and Portugal in 1986.
In 1983, Bettino Craxi became the first socialist to hold the office of Prime Minister of Italy; he remained in power until 1987, becoming one of the longest-serving Prime Ministers in the history of Italian Republic. At the end of his presidency the Mani pulite corruption scandal broke up, causing the collapse of the political system.
Significant political reforms occurred in a number of communist countries in eastern Europe as the populations of these countries grew increasingly hostile and politically active in opposing communist governments. These reforms included attempts to increase individual liberties and market liberalization, and promises of democratic renewal. The collapse of communism in eastern Europe was generally peaceful, the exception being Romania, whose leader Nicolae Ceaușescu tried to keep the people isolated from the events happening outside the country. While making a speech in Bucharest in December 1989, he was booed and shouted down by the crowd, and then tried to flee the city with his wife Elena. Two days later, they were captured, charged with genocide, and shot on Christmas Day.
In Yugoslavia, following the death of communist leader Josip Broz Tito in May 1980, the trend of political reform of the communist system occurred along with a trend towards ethnic nationalism and inter-ethnic hostility, especially in Serbia, beginning with the 1986 Memorandum of the Serbian Academy of Sciences and Arts followed by the agenda of Serbian communist leader Slobodan Milošević who aggressively pushed for increased political influence of Serbs in the late 1980s, condemning non-Serb Yugoslav politicians who challenged his agenda as being enemies of Serbs.
There was continuing civil strife in Northern Ireland, including the adoption of hunger strikes by Irish Republican Army prisoners seeking the reintroduction of political status.
Mikhail Gorbachev became leader of the Soviet Union in 1985, and initiated major reforms to the Soviet Union's government through increasing the rights of expressing political dissent and opening elections to opposition candidates (while maintaining legal dominance of the Communist Party). Gorbachev pursued negotiation with the United States to decrease tensions and eventually end the Cold War.
At the end of the decade, the fall of the Berlin Wall in 1989 would be followed in 1990 by the German reunification. During 1989, most of the communist governments in Eastern Europe collapsed.
The United Kingdom was governed by the Conservative Party under Prime Minister Margaret Thatcher, the first female leader of a Western country. Under her Premiership, the party introduced widespread economic reforms including the privatisation of industries and the de-regulation of stock markets echoing similar reforms of U.S. President Ronald Reagan. She was also a staunch opponent of communism, earning her the nickname The Iron Lady.
Poor industrial relations marked the beginning of the decade; the UK miners' strike (1984–85) was a major industrial action affecting the UK coal industry. The strike by the National Union of Mineworkers (NUM) was led by Arthur Scargill, although some NUM members considered it to be unconstitutional and did not observe it. The BBC has referred to the strike as ""the most bitter industrial dispute in British history."" At its height, the strike involved 142,000 mineworkers, making it the biggest since the 1926 General Strike.
In November 1982, Leonid Brezhnev, who had led the Soviet Union since 1964, died. He was followed in quick succession by Yuri Andropov, the former KGB chief, and Konstantin Chernenko, both of whom were in poor health during their short tenures in office.

Asia
South Korean president Chun Doo Hwan came to power at the end of 1979 and ruled as a dictator until his presidential term expired in 1987. He was responsible for the Gwangju Uprising in May 1980 when police and soldiers battled armed protesters. Relations with North Korea showed little sign of improvement during the 1980s. In 1983, when Chun was in Burma, a bomb apparently planted by North Korean agents killed a number of South Korean government officials.After leaving office, he was succeeded by Roh Tae Woo, the first democratic ruler of the country, which saw its international prestige greatly rise with hosting the Olympics in 1988. Roh pursued a policy of normalizing relations with China and the Soviet Union, but had to face militant left-wing student groups who demanded reunification with North Korea and the withdrawal of US troops.
In the Philippines, after almost 20 years of dictatorship, Philippine president Ferdinand Marcos left the presidency and was replaced by Corazon Aquino through the ""People Power Revolution"" from February 22 to 25, 1986. This has been considered by some a peaceful revolution despite the fact that the Armed Forces of the Philippines issued an order to disperse the crowds on EDSA (the main thoroughfare in Metro Manila).
Martial law in Taiwan ended and the first democratic elections in 1987, having lasted 38 and 27 years.
The 1988 Summer Olympics for the first time, after democratic reforms in Taiwan and South Korea.

",Prominent political events,1980s
Politics and wars,"Americas
Ronald Reagan was elected U.S. President in 1980. In international affairs, Reagan pursued a hardline policy towards preventing the spread of communism, initiating a considerable buildup of U.S. military power to challenge the Soviet Union. He further directly challenged the Iron Curtain by demanding that the Soviet Union dismantle the Berlin Wall.
The Reagan Administration accelerated the War on Drugs, publicized through anti-drug campaigns including the Just Say No campaign of First Lady Nancy Reagan. Drugs gained attention in the US as a serious problem in the '80s. Cocaine was relatively popular among celebrities and affluent youth, while crack, a cheaper offshoot of the drug, was linked to high crime rates in inner cities during the American crack epidemic.
The Professional Air Traffic Controllers Organization (1968) (PATCO) declared a strike on August 3, 1981, seeking better working conditions, better pay, and a 32-hour workweek. The strike caused considerable disruption of the U.S. air transportation system. Resolution came when Ronald Reagan fired over 11,000 striking air traffic controllers who had ignored the order, banning them from federal service for life. After seeking appeals, many of the controllers were re-hired while the FAA attempted to replace much of their air traffic control staffing. The remainder continued to be banned until President Clinton lifted the final aspects in 1993.
Political unrest in the province of Quebec, which, due to the many differences between the dominant francophone population and the anglophone minority, and also to francophone rights in the predominantly English-speaking Canada, came to a head in 1980 when the provincial government called a public referendum on partial separation from the rest of Canada. The referendum ended with the ""no"" side winning majority (59.56% no, 40.44% yes).
Military dictatorships give way to democracy in Argentina (1983), Uruguay (1984–85), Brazil (1985–1988) and Chile (1988–89). Marking the end of the Operation Condor for 30 years.

",Americas,1980s
Politics and wars,"Europe
The European Community's enlargement continued with the accession of Greece in 1981 and Spain and Portugal in 1986.
In 1983, Bettino Craxi became the first socialist to hold the office of Prime Minister of Italy; he remained in power until 1987, becoming one of the longest-serving Prime Ministers in the history of Italian Republic. At the end of his presidency the Mani pulite corruption scandal broke up, causing the collapse of the political system.
Significant political reforms occurred in a number of communist countries in eastern Europe as the populations of these countries grew increasingly hostile and politically active in opposing communist governments. These reforms included attempts to increase individual liberties and market liberalization, and promises of democratic renewal. The collapse of communism in eastern Europe was generally peaceful, the exception being Romania, whose leader Nicolae Ceaușescu tried to keep the people isolated from the events happening outside the country. While making a speech in Bucharest in December 1989, he was booed and shouted down by the crowd, and then tried to flee the city with his wife Elena. Two days later, they were captured, charged with genocide, and shot on Christmas Day.
In Yugoslavia, following the death of communist leader Josip Broz Tito in May 1980, the trend of political reform of the communist system occurred along with a trend towards ethnic nationalism and inter-ethnic hostility, especially in Serbia, beginning with the 1986 Memorandum of the Serbian Academy of Sciences and Arts followed by the agenda of Serbian communist leader Slobodan Milošević who aggressively pushed for increased political influence of Serbs in the late 1980s, condemning non-Serb Yugoslav politicians who challenged his agenda as being enemies of Serbs.
There was continuing civil strife in Northern Ireland, including the adoption of hunger strikes by Irish Republican Army prisoners seeking the reintroduction of political status.
Mikhail Gorbachev became leader of the Soviet Union in 1985, and initiated major reforms to the Soviet Union's government through increasing the rights of expressing political dissent and opening elections to opposition candidates (while maintaining legal dominance of the Communist Party). Gorbachev pursued negotiation with the United States to decrease tensions and eventually end the Cold War.
At the end of the decade, the fall of the Berlin Wall in 1989 would be followed in 1990 by the German reunification. During 1989, most of the communist governments in Eastern Europe collapsed.
The United Kingdom was governed by the Conservative Party under Prime Minister Margaret Thatcher, the first female leader of a Western country. Under her Premiership, the party introduced widespread economic reforms including the privatisation of industries and the de-regulation of stock markets echoing similar reforms of U.S. President Ronald Reagan. She was also a staunch opponent of communism, earning her the nickname The Iron Lady.
Poor industrial relations marked the beginning of the decade; the UK miners' strike (1984–85) was a major industrial action affecting the UK coal industry. The strike by the National Union of Mineworkers (NUM) was led by Arthur Scargill, although some NUM members considered it to be unconstitutional and did not observe it. The BBC has referred to the strike as ""the most bitter industrial dispute in British history."" At its height, the strike involved 142,000 mineworkers, making it the biggest since the 1926 General Strike.
In November 1982, Leonid Brezhnev, who had led the Soviet Union since 1964, died. He was followed in quick succession by Yuri Andropov, the former KGB chief, and Konstantin Chernenko, both of whom were in poor health during their short tenures in office.

",Europe,1980s
Politics and wars,"Asia
South Korean president Chun Doo Hwan came to power at the end of 1979 and ruled as a dictator until his presidential term expired in 1987. He was responsible for the Gwangju Uprising in May 1980 when police and soldiers battled armed protesters. Relations with North Korea showed little sign of improvement during the 1980s. In 1983, when Chun was in Burma, a bomb apparently planted by North Korean agents killed a number of South Korean government officials.After leaving office, he was succeeded by Roh Tae Woo, the first democratic ruler of the country, which saw its international prestige greatly rise with hosting the Olympics in 1988. Roh pursued a policy of normalizing relations with China and the Soviet Union, but had to face militant left-wing student groups who demanded reunification with North Korea and the withdrawal of US troops.
In the Philippines, after almost 20 years of dictatorship, Philippine president Ferdinand Marcos left the presidency and was replaced by Corazon Aquino through the ""People Power Revolution"" from February 22 to 25, 1986. This has been considered by some a peaceful revolution despite the fact that the Armed Forces of the Philippines issued an order to disperse the crowds on EDSA (the main thoroughfare in Metro Manila).
Martial law in Taiwan ended and the first democratic elections in 1987, having lasted 38 and 27 years.
The 1988 Summer Olympics for the first time, after democratic reforms in Taiwan and South Korea.

",Asia,1980s
Politics and wars,"Notable world leaders
1980 – 1981 – 1982 – 1983 – 1984 – 1985 – 1986 – 1987 – 1988 – 1989

",Notable world leaders,1980s
Disasters,"Natural disasters
Mount St. Helens erupted in Washington, U.S. on May 18, 1980, killing 57 people.
On October 17, 1989, the Loma Prieta earthquake struck the San Francisco Bay Area during Game 3 of the 1989 World Series, gaining worldwide attention. Sixty-five people were killed and thousands injured, with major structural damage on freeways and buildings and broken gas-line fires in San Francisco, California. The cost of the damage totaled $13 billion (1989 USD).
The US Drought of 1988 decimated the US with many parts of the country affected. This was the worst drought to hit the United States in many years. The drought caused $60 billion in damage (between $80 billion and $120 billion for 2008 USD). The concurrent heat waves killed 5,800 to 17,000 people in the United States.
Hurricane Allen (1980), Hurricane Alicia (1983), Hurricane Gilbert (1988), Hurricane Joan (1988), and Hurricane Hugo (1989) were some notably destructive Atlantic hurricanes of the 1980s.
Other natural disasters of the 1980s include the 1982–1983 El Niño which brought destructive weather to most of the world; the 1985 Mexico earthquake, which registered 8.0 on the moment magnitude scale and devastated Mexico City and other areas throughout central Mexico; the 1985 Nevado del Ruiz lahar in Colombia; the 1986 Lake Nyos limnic eruption in Cameroon; and the 1988 Armenian earthquake, which rocked the Caucasus region of the USSR.

",Natural disasters,1980s
Disasters,"Non-natural disasters
On April 25, 1980, Dan-Air Flight 1008 crashed on approach to Tenerife in the Canary Islands. All 146 people on board were killed.
On August 19, 1980, Saudia Flight 163 caught fire moments after takeoff from the Saudi Arabian capital of Riyadh. The flight quickly returned to the airport, but evacuation of the plane was delayed and all 301 people aboard died.
On July 9, 1982, Pan Am Flight 759 was forced down by a wind shear microburst, killing 153 people.
In 1984, the Bhopal disaster resulted from a toxic MIC gas leak at the Union Carbide plant in Bhopal, India, killing 3,000 immediately and ultimately claiming 15,000–20,000 lives.
On September 1, 1983, Soviet Union fighter jets shot down Korean Air Lines Flight 007, which was carrying 269 people, none of whom survived.
On August 2, 1985, Delta Air Lines Flight 191 crashed on approach to Dallas-Fort Worth International Airport in Texas. 137 people were killed while 27 survived.
June 21, 1985, Air India Flight 182, flight from Montreal Canada is blown up over Irish waters by a bomb placed in the luggage compartment. This was the greatest act of terrorism until 9/11.
Japan Airlines Flight 123, carrying 524 people, crashed on August 12, 1985, while on a flight from Tokyo to Osaka killing 520 of the people on board, leaving four survivors. This was, and still is, the worst single-plane crash ever.
On December 12, 1985, Arrow Air Flight 1285 crashed seconds after lifting off from Gander, Newfoundland. All 256 people on board, many of them U.S. servicemen returning home from duty overseas, perished.
On January 28, 1986, the NASA Space Shuttle Challenger disintegrated 73 seconds after launch, killing all of the crew on board. This was the first disaster involving the destruction of a NASA space shuttle. A faulty O-ring was the cause of the accident.
On April 26, 1986, the Chernobyl disaster, a large-scale nuclear meltdown in the Ukrainian SSR, Soviet Union, spread a large amount of radioactive material across Europe, killing 47 people, dooming countless others to future radiation-related cancer, and causing the displacement of 300,000 people.
On August 31, 1986, Aeroméxico Flight 498 crashed after colliding with a private Piper Cherokee over Cerritos, California, killing everyone on both airplanes and several others on the ground. On the same day, the Soviet passenger ship Admiral Nakhimov sank after colliding with the bulk carrier Pyotr Vasev in the Black Sea, killing 423 people.
On May 9, 1987, an uncontained engine failure on LOT Flight 5055 caused an in-flight fire on board the airliner, which subsequently crashed, killing all 183 passengers and crew.
On August 16, 1987, Northwest Airlines Flight 255 crashed almost immediately after takeoff from Detroit Wayne Airport in Michigan, killing 156 people.
On November 28, 1987, a fire broke out on South African Airways Flight 295, eventually causing the aircraft to crash into the Indian Ocean. All 159 aboard were killed.
On December 7, 1987, 43 people were killed when an irate former USAir employee went on a rampage aboard PSA Flight 1771.
On December 20, 1987, the Philippine passenger ferry MV Doña Paz burned and sank after colliding with the oil tanker MT Vector. With an estimated death toll of over 4,000, this was and remains the world's deadliest peacetime maritime disaster.
On July 3, 1988, Iran Air Flight 655 was shot down by the U.S. missile cruiser USS Vincennes over the Strait of Hormuz, killing all 290 people on the plane. The event is one of the most controversial aviation occurrences of all time, with the true cause disputed between the Americans and the Iranians.
On December 21, 1988 an American passenger 747 airliner en route from Frankfurt to Detroit (via London and New York) Pan Am Flight 103 was destroyed by a bomb while it was flying over Lockerbie, Scotland, killing the 259 passengers and crew members on board and 11 people on the ground. This was the worst terrorist attack to have occurred on British soil.
On March 24, 1989, the oil tanker Exxon Valdez ran aground on Bligh Reef in Alaska's Prince William Sound spilling an estimated equivalent of 260,000 to 750,000 barrels of crude oil. Although not among the largest oil spills in history, its remote and sensitive location made it one of the most devastating ecological disasters ever. The after effects of the spill continue to be felt to this day.
On April 15, 1989, The Hillsborough disaster occurs during a FA Cup Semi-Final in Sheffield, England fatally crushing 96 football fans and injuring nearly 1,000 more.
On July 19, 1989, United Airlines Flight 232, carrying 296 people, suffered an in-flight engine failure and was forced to crash-land at Sioux City, Iowa. 185 survived, while 111 were killed when the plane burst into flames upon touchdown.

",Non-natural disasters,1980s
Assassinations and attempts,"Assassinations and attempts
Prominent assassinations, targeted killings, and assassination attempts include:

On April 12, 1980, William R. Tolbert, Jr., the President of Liberia, is killed during a military coup. His death marks the end of Americo-Liberian rule in Liberia.
Musician and former member of the Beatles John Lennon was assassinated in New York City on December 8, 1980.
Ronald Reagan was shot in Washington, D.C. on March 30, 1981, by John Hinckley, a mentally disturbed young man who also stalked actress Jodie Foster. Reagan's press secretary James Brady was also shot, along with a police officer and a U.S. Secret Service agent. The latter two recovered, along with Reagan himself, but Brady used a wheelchair as a result of brain damage thereafter and would become an advocate of gun control.
In May 1981, there was an assassination attempt on Pope John Paul II in Saint Peter's Square. The would-be assassin was a Turkish man named Mehmet Ali Agca, who was subsequently sentenced to life in prison, but would be pardoned in 2000. At the time, it was widely believed that he was an agent of the Soviet Union or Bulgaria, due to the Pope's vocal anti-communist stance. Agca himself told dozens of conflicting stories over the years, and his motive remains unclear.
Egyptian president Anwar Sadat was assassinated at a military parade in Cairo on October 6, 1981.
Philippine Opposition Senator Benigno Aquino, Jr. was assassinated in Manila on August 21, 1983.
American singer-songwriter and musician Marvin Gaye was shot dead by his father at his home in Los Angeles on April 1, 1984.
Indian prime minister Indira Gandhi was assassinated on October 31, 1984, by her own bodyguards in response to the Indian Army's attack on Golden Temple to destroy Sikh Militant stronghold in Amritsar earlier in the decade.
In 1984, there was an assassination attempt on the British Prime Minister, Margaret Thatcher and the Conservative Government by the IRA.
Swedish Prime Minister Olof Palme was assassinated in February 1986. The assassin has never been identified.
On October 15, 1987, the President of Burkina Faso, Thomas Sankara, was killed during a coup d'état organised by his former colleague, Blaise Compaoré.

",Assassinations and attempts,1980s
Technology,"Medicine and biology
The 1980s had many fundamental advances in medicine and biology. The first surrogate pregnancy of an unrelated child took place on April 13, 1986, in Michigan. The first genetically modified crops, tobacco (Nicotiana) plants were grown in China in 1988.Gene therapy techniques became established by the end of the 1980s, allowing gene tagging and gene therapy to become a possibility, both of which were first performed in human beings in May 1989 and September 1990, respectively.

",Medicine and biology,1980s
Technology,"Electronics and computers
Arcade and video games had been growing in popularity since the late 1970s, and by 1982 were a major industry. But a variety of factors, including a glut of low-quality games and the rise of home computers, caused a tremendous crash in late 1983. For the next three years, the video game market practically ceased to exist in the US. But in the second half of the decade, it would be revived by Nintendo, whose Famicom console and mascot Mario had been enjoying considerable success in Japan since 1983. Renamed the Nintendo Entertainment System, it would claim 90% of the American video game market by 1989. The 1980s are considered to be the decade when video games achieved massive popularity. In 1980, Pac-Man was introduced to the arcades, and became one of the most popular video games of all time. Also in 1980, Game & Watch was created; it was not one of the most well known game systems, but it facilitated mini-games and was concurrent with the NES. Donkey Kong, released in 1981, was a smash arcade hit and market breakthrough for Nintendo. Super Mario Bros., Super Mario Bros. 2, Super Mario Bros. 3, The Legend of Zelda, and the Mega Man series would become major hits for the console.

		
		
The personal computer experienced explosive growth in the 1980s, transitioning from a hobbyist's toy to a full-fledged consumer product. The IBM PC, launched in 1981, became the dominant computer for professional users. Commodore created the most popular home computers of both 8-bit and 16-bit generations. MSX standard was the dominant computer platform in Japan and in most parts of Asia. Apple superseded its Apple II and Lisa models by introducing the first Macintosh computer in 1984. It was the first commercially successful personal computer to use a graphical user interface (GUI) and mouse, which started to become general features in computers after the middle of the decade. Electronics and computers were also at the forefront of the advertising industry, with many commercials like ""1984"" from Apple achieving acclaim and pop-culture relevance.

		
		
		
		
Walkman and boomboxes, invented during the late 1970s, became very popular as they were introduced to various countries in the early 1980s, and had a profound impact on the Music industry and youth culture. Consumer VCRs and video rental stores became commonplace as VHS won out over the competing Betamax standard. In addition, in the early 1980s various companies began selling compact, modestly priced synthesizers to the public. This, along with the development of Musical Instrument Digital Interface (MIDI), made it easier to integrate and synchronize synthesizers and other electronic instruments, like drum machines, for use in musical composition.
High definition television (HDTV) of both the analog and digital variety were first developed in the 1980s though their use did not become widespread until the mid-2000s.
In 1981, Hayes Microcomputer Products started selling the Smartmodem. The Smartmodem paved the way for the modern modems that exists today, mainly because it was the first modem to transform what had previously required a two-stage process into a process involving only one stage. The Smartmodem contributed to the rise in popularity of BBS systems in the 80s and early 90s, which were the main way to connect to remote computers and perform various social and entertainment activities before the Internet and the World Wide Web finally became popular in the mid-90s.

",Electronics and computers,1980s
Technology,"Information technology
During the decade Microsoft released the operating systems MS-DOS (1981), Windows 1.0 (1985), and Windows 2.0 (1987).
The CD - the most basic CD (""Digital Audio Compact Disc"") was released in October 1982 for distribution and listening to digital audio, and at the time contained up to 74 minutes of music.
TCP/IP: ARPANET officially changed its main protocol from NCP to TCP/IP on January 1, 1983 when the new protocols were activated. The TCP/IP protocol will become the dominant communications protocol from then onwards, and would be used as the foundation on which the Internet would be based.
The GNU Project (1983). The Free Software Foundation (1985).
FidoNet - In 1984, FidoNet was launched, enabling BBS users to send private messages (e-mails) and public messages (in the forum) between all BBS systems that were connected to the FidoNet network, in addition to sending files to each other. The rise in popularity and availability of the Internet around the world around the mid-1990s eventually contributed to the irrelevance of FidoNet.
World Wide Web - In 1989, the British computer scientist Tim Berners-Lee first proposed a project to his employer CERN, based on the concept of hypertext, to facilitate sharing and updating information among researchers. In mid-November 1989 he would develop the first successful communication between a Hypertext Transfer Protocol (HTTP) client and server via the internet. In the coming years Berners-Lee developed the system which would later become the foundation of the World Wide Web.

",Information technology,1980s
Technology,"Space exploration
American interplanetary probes continued in the 1980s, the Voyager duo being the most known. After making a flyby of Jupiter in 1979, they went near Saturn in 1980–1981. Voyager 2 reached Uranus in 1986 (just a few days before the Challenger disaster), and Neptune in 1989 before the probes exited the solar system.
No American probes were launched to Mars in the 1980s, and the Viking probes, launched there in 1975, completed their operations by 1982. The Soviets launched two Mars probes in 1988, but they failed.
The arrival of Halley's Comet in 1986 was met by a series of Soviet, Japanese and European Space Agency (ESA) probes, namely Halley Armada.
After a six-year hiatus, American space flights with astronauts resumed with the launch of the space shuttle Columbia in April 1981. The shuttle program progressed smoothly from there, with three more orbiters entering service in 1983–1985. But that all came to an end with the tragic loss of the Challenger (STS-51-L) on January 28, 1986, taking with it seven astronauts, including Christa McAuliffe, who was to have been the first teacher in space. In full view of the world, a faulty O-ring on the right solid rocket booster allowed hot gases to burn through the external fuel tank and cause it to explode, destroying the shuttle in the process. Extensive efforts were made to improve NASA's increasingly careless management practices, and to make the shuttle safer. Flights resumed with the launch of Discovery in September 1988.
The Soviet program with cosmonauts went well during the decade, experiencing only minor setbacks. The Salyut 6 space station, launched in 1977, was replaced by Salyut 7 in 1982. Then came Mir in 1986, which ended up operating for more than a decade, and was destined to be the last in the line of Soviet space stations that had begun in 1971. One of the Soviet Union's last ""superprojects"" was the Buran space shuttle; it was only used once, in 1988.

",Space exploration,1980s
Technology,"Automobiles
The American auto industry began the 1980s in a thoroughly grim situation, faced with poor quality control, rising import competition, and a severe economic downturn. Chrysler and American Motors (AMC) were near bankruptcy, and Ford was little better off. Only GM continued with business as usual. But the auto makers recovered with the economy by 1983, and in 1985 auto sales in the United States hit a new record. However, the Japanese were now a major presence, and would begin manufacturing cars in the US to get around tariffs. In 1986, Hyundai became the first Korean auto maker to enter the American market. In the same year, the Yugoslavian-built Yugo was brought to the US, but the car was so small and cheap, that it became the subject of jokes. It was sold up to 1991, when economic sanctions against Yugoslavia forced its withdrawal from the American market.
As the decade progressed, cars became smaller and more efficient in design. In 1983, Ford design teams began to incorporate aerodynamic styling to decrease drag while in motion. The Thunderbird was one of the first cars to receive these design changes. In 1985, Ford released the Taurus with a design that was revolutionary among domestic mass market automobiles.
General Motors began suffering significant losses in the late 1980s, partially the result of chairman Roger Smith's restructuring attempts, and partially because of increasingly dated cars. An example were customers who increasingly purchased European luxury cars rather than Cadillacs. In 1985, GM started Saturn (the first new American make since the Edsel), with the goal of producing high-quality import fighters. Production would not begin until 1990.
Chrysler introduced its new compact, front-wheel drive K-cars in 1981. Under the leadership of Lee Iacocca, the company turned a profit again the following year, and by 1983 paid off its government loans. A succession of models using this automobile platform followed. The most significant were the minivans in 1984. These proved a to be popular and they would dominate the van market for more than a decade. In 1987, Chrysler purchased the Italian makes of Lamborghini and Maserati. In the same year, Chrysler bought AMC from Renault laying to rest the last significant independent U.S. automaker, but acquiring the hugely profitable Jeep line and continuing the Eagle brand until the late 1990s.The DMC DeLorean was the brainchild of John DeLorean, a flamboyant former GM executive. Production of the gull-winged sports car began in Northern Ireland in 1981. John DeLorean was arrested in October 1982 in a sting operation where he was attempting to sell cocaine to save his struggling company. He was acquitted of all charges in 1984, but too late for the DeLorean Motor Company, which closed down in 1983. The DeLorean gained renewed fame afterward as the time machine in the Back to the Future film trilogy.
The imposition of CAFE fuel-mileage standards in 1979 spelled the end of big-block engines, but performance cars and convertibles reemerged in the 1980s. Turbochargers were widely used to boost the performance of small cars, and technology from fuel injection began to take over from the widely used application of carburetors by the late 1980s. Front-wheel drive also became dominant.
The Eighties marked the decline of European brands in North America by the end of the decade. Renault, Citroen, and Peugeot ceased importation by the end of the decade. Alfa Romeo would continue until 1993. Fiat also ceased imports to North America in the Eighties.

",Automobiles,1980s
